iter	Passed	Remaining
0	6	6853
1	11	5702
2	22	7619
3	28	7198
4	34	6883
5	41	6905
6	46	6572
7	53	6616
8	58	6457
9	65	6499
10	74	6684
11	78	6493
12	84	6428
13	92	6506
14	102	6708
15	116	7178
16	129	7509
17	139	7603
18	149	7716
19	159	7820
20	170	7963
21	182	8092
22	190	8113
23	196	7971
24	203	7948
25	210	7869
26	217	7828
27	234	8132
28	251	8433
29	262	8502
30	275	8598
31	280	8490
32	287	8423
33	293	8335
34	305	8413
35	326	8755
36	345	8982
37	359	9111
38	364	8984
39	371	8912
40	375	8793
41	380	8686
42	386	8592
43	400	8692
44	411	8732
45	417	8660
46	422	8568
47	426	8466
48	432	8387
49	443	8425
50	448	8353
51	455	8296
52	464	8300
53	469	8230
54	475	8175
55	481	8122
56	490	8119
57	497	8073
58	501	7991
59	508	7960
60	513	7898
61	519	7852
62	532	7915
63	537	7857
64	551	7928
65	555	7858
66	560	7802
67	564	7737
68	571	7712
69	576	7653
70	588	7696
71	596	7688
72	610	7754
73	629	7882
74	639	7885
75	661	8047
76	668	8015
77	673	7964
78	677	7902
79	684	7868
80	695	7887
81	700	7836
82	703	7777
83	708	7728
84	714	7687
85	721	7671
86	742	7786
87	746	7732
88	750	7684
89	755	7637
90	760	7601
91	765	7555
92	770	7515
93	781	7529
94	789	7524
95	807	7605
96	813	7569
97	821	7559
98	831	7568
99	837	7536
100	845	7526
101	851	7492
102	863	7520
103	873	7526
104	881	7511
105	889	7504
106	895	7475
107	901	7446
108	909	7436
109	917	7424
110	924	7401
111	932	7390
112	939	7378
113	944	7339
114	948	7301
115	963	7345
116	968	7309
117	973	7279
118	977	7239
119	982	7208
120	987	7171
121	992	7141
122	996	7107
123	1001	7073
124	1008	7060
125	1021	7082
126	1030	7081
127	1039	7080
128	1043	7046
129	1048	7013
130	1054	6996
131	1063	6991
132	1067	6957
133	1079	6974
134	1089	6980
135	1096	6963
136	1104	6955
137	1114	6959
138	1118	6930
139	1124	6907
140	1129	6879
141	1139	6886
142	1146	6873
143	1168	6946
144	1181	6966
145	1190	6965
146	1195	6938
147	1211	6972
148	1216	6947
149	1222	6926
150	1226	6895
151	1242	6929
152	1247	6905
153	1262	6937
154	1268	6912
155	1276	6904
156	1284	6896
157	1291	6882
158	1295	6852
159	1300	6828
160	1304	6798
161	1310	6779
162	1314	6750
163	1320	6729
164	1332	6741
165	1340	6735
166	1345	6710
167	1355	6711
168	1361	6693
169	1367	6677
170	1372	6653
171	1377	6630
172	1382	6610
173	1388	6592
174	1395	6578
175	1401	6560
176	1411	6561
177	1418	6550
178	1432	6570
179	1448	6599
180	1466	6634
181	1477	6639
182	1487	6639
183	1506	6680
184	1513	6666
185	1525	6676
186	1534	6670
187	1540	6655
188	1545	6631
189	1553	6622
190	1560	6610
191	1566	6593
192	1577	6595
193	1586	6591
194	1596	6589
195	1602	6571
196	1608	6558
197	1619	6559
198	1625	6542
199	1636	6545
200	1647	6549
201	1661	6562
202	1669	6554
203	1675	6538
204	1700	6594
205	1706	6576
206	1712	6559
207	1719	6547
208	1730	6547
209	1740	6547
210	1747	6535
211	1754	6522
212	1762	6512
213	1769	6499
214	1776	6485
215	1789	6496
216	1795	6477
217	1799	6453
218	1804	6435
219	1812	6424
220	1817	6406
221	1823	6390
222	1831	6382
223	1839	6371
224	1844	6353
225	1852	6345
226	1868	6361
227	1885	6384
228	1896	6385
229	1912	6402
230	1933	6438
231	1941	6427
232	1961	6456
233	1968	6443
234	1979	6445
235	1993	6452
236	2005	6455
237	2010	6436
238	2028	6460
239	2034	6443
240	2043	6436
241	2048	6417
242	2054	6399
243	2059	6380
244	2064	6360
245	2069	6342
246	2074	6323
247	2079	6305
248	2084	6285
249	2088	6266
250	2093	6248
251	2114	6274
252	2139	6317
253	2155	6332
254	2172	6346
255	2199	6392
256	2214	6403
257	2240	6442
258	2253	6446
259	2277	6483
260	2311	6544
261	2329	6560
262	2351	6588
263	2378	6631
264	2404	6668
265	2429	6702
266	2451	6730
267	2474	6758
268	2488	6763
269	2511	6789
270	2528	6801
271	2542	6804
272	2571	6849
273	2591	6865
274	2603	6864
275	2630	6899
276	2653	6925
277	2669	6932
278	2689	6951
279	2709	6966
280	2733	6994
281	2744	6988
282	2775	7031
283	2801	7063
284	2818	7071
285	2841	7094
286	2861	7109
287	2886	7135
288	2909	7157
289	2923	7158
290	2929	7138
291	2947	7145
292	2957	7136
293	2983	7165
294	3000	7171
295	3027	7201
296	3039	7194
297	3046	7175
298	3068	7193
299	3085	7199
300	3107	7216
301	3119	7210
302	3140	7223
303	3162	7241
304	3185	7257
305	3189	7234
306	3198	7220
307	3203	7198
308	3208	7175
309	3214	7154
310	3223	7141
311	3228	7119
312	3234	7098
313	3239	7077
314	3252	7072
315	3262	7061
316	3273	7053
317	3284	7044
318	3304	7053
319	3324	7065
320	3332	7048
321	3352	7058
322	3369	7062
323	3388	7070
324	3416	7095
325	3435	7101
326	3451	7103
327	3474	7118
328	3502	7142
329	3514	7135
330	3520	7115
331	3525	7093
332	3542	7096
333	3549	7077
334	3566	7080
335	3571	7058
336	3584	7051
337	3595	7042
338	3618	7055
339	3629	7045
340	3649	7052
341	3682	7084
342	3696	7080
343	3712	7080
344	3726	7074
345	3743	7076
346	3762	7080
347	3772	7068
348	3793	7075
349	3802	7061
350	3821	7066
351	3841	7071
352	3858	7071
353	3876	7074
354	3895	7077
355	3908	7069
356	3921	7063
357	3930	7047
358	3951	7055
359	3960	7040
