地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2024/03/26,16:54:27.8,石川県能登地方,37°25.0′N,137°06.0′E,9 km,3.1,震度１
2024/03/26,08:01:08.2,鹿児島県薩摩地方,31°50.7′N,130°47.0′E,7 km,2.8,震度１
2024/03/26,05:51:10.0,青森県東方沖,41°09.2′N,141°51.4′E,67 km,3.2,震度１
2024/03/26,03:07:51.5,能登半島沖,37°08.8′N,136°43.0′E,4 km,1.7,震度１
2024/03/25,23:45:29.3,鹿児島県薩摩地方,31°50.8′N,130°47.0′E,7 km,2.8,震度２
2024/03/25,20:16:20.5,石川県能登地方,37°09.1′N,136°42.9′E,6 km,1.4,震度１
2024/03/25,10:58:04.3,石川県能登地方,37°27.2′N,137°08.8′E,9 km,3.0,震度２
2024/03/25,05:47:11.6,茨城県北部,36°27.9′N,140°35.7′E,55 km,3.3,震度１
2024/03/25,03:54:15.5,石川県能登地方,37°20.7′N,136°59.6′E,11 km,2.5,震度１
2024/03/25,03:37:00.1,長野県南部,35°55.7′N,138°04.4′E,4 km,2.8,震度１
2024/03/24,15:57:52.9,石川県能登地方,37°23.9′N,136°52.4′E,0 km,1.8,震度１
2024/03/24,15:53:51.2,石川県能登地方,37°23.8′N,136°52.5′E,6 km,2.9,震度３
2024/03/24,03:04:00.9,能登半島沖,37°08.0′N,136°39.0′E,6 km,2.0,震度１
2024/03/24,01:49:54.2,千葉県北西部,35°29.5′N,140°05.2′E,70 km,3.2,震度２
2024/03/23,21:05:23.1,千葉県南部,35°19.4′N,140°21.9′E,26 km,2.7,震度２
2024/03/23,20:17:11.1,石川県能登地方,37°13.8′N,136°49.4′E,11 km,2.7,震度１
2024/03/23,15:27:55.1,能登半島沖,37°31.5′N,137°11.1′E,10 km,2.0,震度１
2024/03/23,08:31:48.7,岐阜県美濃中西部,35°40.9′N,136°37.8′E,14 km,4.6,震度４
2024/03/23,02:56:02.8,能登半島沖,37°34.5′N,137°23.5′E,8 km,4.3,震度２
2024/03/22,19:23:02.4,石川県能登地方,37°09.9′N,136°45.3′E,4 km,2.3,震度１
2024/03/22,14:44:00.3,岩手県沖,40°21.8′N,142°12.1′E,46 km,4.3,震度２
2024/03/22,14:08:39.2,トカラ列島近海,29°09.5′N,129°11.0′E,12 km,2.2,震度１
2024/03/22,09:56:12.0,茨城県南部,36°10.5′N,139°53.8′E,66 km,3.2,震度１
2024/03/22,03:43:48.9,宮城県沖,38°14.1′N,141°43.1′E,52 km,3.4,震度１
2024/03/22,01:08:26.9,京都府南部,35°17.8′N,135°44.0′E,13 km,3.4,震度１
2024/03/21,18:21:33.7,トカラ列島近海,29°09.9′N,129°10.2′E,12 km,不明,震度１
2024/03/21,09:08:03.8,茨城県南部,36°02.9′N,139°53.2′E,46 km,5.3,震度５弱
2024/03/21,07:43:48.2,山梨県中・西部,35°19.6′N,138°29.0′E,17 km,2.6,震度２
2024/03/21,07:03:50.8,千葉県北東部,35°23.6′N,140°23.6′E,29 km,2.6,震度１
2024/03/20,08:54:06.8,熊本県阿蘇地方,32°58.1′N,131°06.3′E,9 km,3.1,震度２
2024/03/20,01:43:22.5,千葉県北東部,35°29.9′N,140°24.9′E,37 km,2.7,震度１
2024/03/20,01:37:40.6,石川県能登地方,37°11.3′N,136°50.4′E,10 km,2.5,震度１
2024/03/19,19:21:10.0,能登半島沖,37°32.9′N,137°16.3′E,10 km,2.9,震度１
2024/03/19,10:15:06.0,十勝沖,41°41.6′N,143°49.2′E,21 km,4.6,震度２
2024/03/19,01:12:34.7,鹿児島湾,31°18.8′N,130°38.8′E,124 km,3.9,震度１
2024/03/19,01:01:23.5,石川県能登地方,37°29.6′N,137°13.9′E,12 km,2.9,震度１
2024/03/18,18:49:27.7,千葉県北西部,35°38.2′N,140°04.2′E,72 km,3.7,震度２
